@RELATION Accelerometer

@ATTRIBUTE Timestamp NUMERIC
@ATTRIBUTE accX NUMERIC
@ATTRIBUTE accY NUMERIC
@ATTRIBUTE accZ NUMERIC
@ATTRIBUTE accTotal NUMERIC
@ATTRIBUTE label {lying,running,sitting,standing,walking}

@DATA
170037856,-0.196,9.846,-0.314,9.852955292702793,standing
170037865,-0.137,9.767,-0.373,9.775079897371683,standing
170037873,-0.118,9.846,-0.373,9.853769278808997,standing
170037882,-0.118,9.846,-0.373,9.853769278808997,standing
170037890,-0.137,9.787,-0.353,9.794322181754081,standing
170037898,-0.137,9.748,-0.314,9.754018095123671,standing
170037907,-0.137,9.826,-0.412,9.835587882785655,standing
170037915,-0.078,9.826,-0.314,9.831325241288685,standing
170037924,0.039,9.865,-0.294,9.869457026604858,standing
170037932,0.039,9.865,-0.294,9.869457026604858,standing
170037940,0.039,9.905,-0.255,9.90835864308514,standing
170037949,0.078,9.905,-0.255,9.908588900544819,standing
170037957,0.078,9.905,-0.235,9.908094367737924,standing
170037966,0.157,9.865,-0.275,9.87008100270712,standing
170037974,0.216,9.846,-0.255,9.851669756949834,standing
170037982,0.216,9.846,-0.255,9.851669756949834,standing
170037991,0.216,9.865,-0.235,9.870162410011297,standing
170037999,0.177,9.846,-0.275,9.851429845458982,standing
170038008,0.255,9.846,-0.314,9.854305505716777,standing
170038016,0.235,9.807,-0.314,9.814839275301456,standing
170038024,0.216,9.787,-0.373,9.796486819263322,standing
170038033,0.216,9.787,-0.373,9.796486819263322,standing
170038041,0.157,9.846,-0.353,9.853576711022248,standing
170038050,0.137,9.865,-0.333,9.871569429427117,standing
170038058,0.118,9.885,-0.294,9.890075075549225,standing
170038066,0.118,9.885,-0.216,9.888063763952982,standing
170038075,0.118,9.885,-0.235,9.888497054659014,standing
170038083,0.118,9.885,-0.235,9.888497054659014,standing
170038091,0.078,9.964,-0.255,9.967567657156886,standing
170038100,0.098,9.944,-0.216,9.946828439256405,standing
170038108,0.118,9.905,-0.196,9.907641747661247,standing
170038117,0.177,9.905,-0.333,9.912176501656939,standing
170038125,0.177,9.905,-0.294,9.910942942021208,standing
170038133,0.177,9.905,-0.294,9.910942942021208,standing
170038142,0.196,9.885,-0.353,9.893242643339947,standing
170038150,0.177,9.826,-0.412,9.836226359737763,standing
170038159,0.235,9.885,-0.431,9.897181972662723,standing
170038167,0.333,9.885,-0.412,9.899184713904473,standing
170038175,0.333,9.885,-0.451,9.900884556442419,standing
170038184,0.275,9.944,-0.333,9.953373799873088,standing
170038192,0.275,9.944,-0.333,9.953373799873088,standing
170038201,0.314,9.924,-0.333,9.934548857396594,standing
170038209,0.294,9.944,-0.392,9.956065287049901,standing
170038217,0.314,9.924,-0.353,9.93523935292955,standing
170038226,0.294,9.905,-0.392,9.917112735065585,standing
170038234,0.314,9.924,-0.412,9.937510553453516,standing
170038243,0.314,9.924,-0.412,9.937510553453516,standing
170038251,0.255,9.905,-0.392,9.916033178645582,standing
170038259,0.216,9.885,-0.431,9.89674906219209,standing
170038268,0.137,9.885,-0.451,9.89623135339913,standing
170038276,0.118,9.885,-0.412,9.894285876201476,standing
170038284,0.137,9.905,-0.333,9.911542917225349,standing
170038293,0.137,9.905,-0.333,9.911542917225349,standing
170038301,0.137,9.885,-0.333,9.891556146532253,standing
170038310,0.098,9.885,-0.255,9.8887741404079,standing
170038318,0.059,9.846,-0.196,9.848127385447448,standing
170038326,0.078,9.885,-0.235,9.888100626510633,standing
170038335,0.098,9.905,-0.196,9.907423731727638,standing
170038343,0.098,9.905,-0.196,9.907423731727638,standing
170038352,0.039,9.885,-0.157,9.886323634192843,standing
170038360,0.039,9.924,-0.078,9.92438315463485,standing
170038368,0.020,9.924,0.000,9.924020153143584,standing
170038377,0.059,9.905,-0.020,9.905195909218554,standing
170038385,0.078,9.905,-0.039,9.905383889582472,standing
170038394,0.078,9.905,-0.039,9.905383889582472,standing
170038402,0.039,9.924,0.000,9.924076632110415,standing
170038410,0.137,9.964,0.000,9.964941796117026,standing
170038419,0.177,9.944,0.059,9.945750147676142,standing
170038427,0.157,9.905,0.000,9.90624419242732,standing
170038436,0.137,9.924,-0.039,9.92502221659982,standing
170038444,0.137,9.924,-0.039,9.92502221659982,standing
170038452,0.098,9.865,-0.039,9.865563846025223,standing
170038461,0.059,9.885,-0.157,9.88642276053376,standing
170038469,0.078,9.905,-0.157,9.906551266712347,standing
170038478,0.039,9.865,-0.314,9.870073049375065,standing
170038486,0.078,9.885,-0.451,9.895590432106616,standing
170038494,0.078,9.865,-0.471,9.876545448688018,standing
170038503,0.078,9.865,-0.471,9.876545448688018,standing
170038511,0.039,9.885,-0.490,9.897214052449305,standing
170038519,0.059,9.905,-0.530,9.919345038862192,standing
170038528,0.000,9.944,-0.510,9.957069649249222,standing
170038536,-0.059,9.964,-0.569,9.980407707102952,standing
170038545,-0.118,9.924,-0.608,9.94330749801091,standing
170038553,-0.118,9.924,-0.608,9.94330749801091,standing
170038561,-0.177,9.885,-0.588,9.904054624243548,standing
170038570,-0.196,9.905,-0.569,9.923265692301099,standing
170038578,-0.177,9.944,-0.608,9.964142160768283,standing
170038587,-0.235,9.905,-0.588,9.925220098315199,standing
170038595,-0.177,9.885,-0.608,9.905262136864424,standing
170038603,-0.177,9.885,-0.608,9.905262136864424,standing
170038612,-0.157,9.865,-0.549,9.88151177705112,standing
170038620,-0.118,9.846,-0.510,9.859905679062047,standing
170038629,-0.098,9.885,-0.490,9.897622391261448,standing
170038637,-0.078,9.865,-0.530,9.879534857471782,standing
170038645,-0.098,9.787,-0.588,9.805137275938568,standing
170038654,-0.098,9.787,-0.588,9.805137275938568,standing
170038662,-0.078,9.885,-0.608,9.903987732221804,standing
170038671,-0.078,9.885,-0.569,9.90167006115635,standing
170038679,-0.020,9.905,-0.569,9.921350008945355,standing
170038687,-0.078,9.905,-0.569,9.921636457762398,standing
170038696,-0.078,9.885,-0.549,9.900540894314815,standing
170038704,-0.078,9.885,-0.549,9.900540894314815,standing
170038712,-0.020,9.885,-0.510,9.898167759742202,standing
170038721,-0.078,9.905,-0.530,9.919476246254133,standing
170038729,-0.177,9.924,-0.490,9.937665973456744,standing
170038738,-0.216,9.944,-0.510,9.959412231653031,standing
170038746,-0.255,9.905,-0.569,9.924606339800082,standing
170038754,-0.255,9.905,-0.569,9.924606339800082,standing
170038763,-0.255,9.905,-0.530,9.922446774863547,standing
170038771,-0.216,9.885,-0.588,9.904828368023345,standing
170038780,-0.196,9.846,-0.569,9.864374942184629,standing
170038788,-0.177,9.826,-0.569,9.844052315992638,standing
170038796,-0.177,9.846,-0.510,9.86078825449568,standing
170038805,-0.137,9.905,-0.588,9.923383394790307,standing
170038813,-0.137,9.905,-0.588,9.923383394790307,standing
170038822,-0.137,9.905,-0.628,9.925833869252497,standing
170038830,-0.157,9.924,-0.608,9.943846790855137,standing
170038838,-0.196,9.885,-0.667,9.909416229021767,standing
170038847,-0.157,9.865,-0.686,9.89006926163816,standing
170038855,-0.118,9.846,-0.706,9.871984400311824,standing
170038864,-0.118,9.846,-0.706,9.871984400311824,standing
170038872,-0.098,9.826,-0.686,9.850404864775864,standing
170038880,-0.118,9.807,-0.628,9.827795124034688,standing
170038889,-0.137,9.807,-0.686,9.831918124150548,standing
170038897,-0.216,9.807,-0.667,9.832028986938555,standing
170038906,-0.157,9.807,-0.667,9.83090977478687,standing
170038914,-0.157,9.807,-0.667,9.83090977478687,standing
170038922,-0.118,9.807,-0.706,9.833087460202925,standing
170038931,-0.137,9.846,-0.726,9.873680215603502,standing
170038939,-0.118,9.826,-0.765,9.856440787627145,standing
170038947,-0.078,9.807,-0.785,9.838676638654205,standing
170038956,-0.059,9.865,-0.765,9.894793125679788,standing
170038964,-0.059,9.865,-0.765,9.894793125679788,standing
170038973,-0.039,9.865,-0.706,9.89030747752566,standing
170038981,-0.020,9.865,-0.745,9.893111239645494,standing
170038989,0.000,9.865,-0.706,9.890230583762948,standing
170038998,-0.059,9.865,-0.785,9.89635948215302,standing
170039006,-0.078,9.865,-0.726,9.891985897685055,standing
170039015,-0.078,9.865,-0.726,9.891985897685055,standing
170039023,-0.118,9.865,-0.785,9.896887086351951,standing
170039031,-0.098,9.885,-0.804,9.918127091341388,standing
170039040,-0.098,9.924,-0.745,9.952406995295158,standing
170039048,-0.157,9.905,-0.765,9.935738472806134,standing
170039057,-0.098,9.846,-0.745,9.874631385525234,standing
170039065,-0.098,9.846,-0.745,9.874631385525234,standing
170039073,-0.137,9.865,-0.765,9.895565623045506,standing
170039082,-0.177,9.846,-0.765,9.877260247659773,standing
170039090,-0.078,9.865,-0.726,9.891985897685055,standing
170039099,-0.020,9.885,-0.726,9.911644717200067,standing
170039107,-0.020,9.885,-0.804,9.917663081593364,standing
170039115,-0.039,9.905,-0.863,9.942601017842362,standing
170039124,-0.039,9.905,-0.863,9.942601017842362,standing
170039132,-0.039,9.885,-0.922,9.92798217161977,standing
170039141,-0.039,9.865,-0.863,9.902752900077836,standing
170039149,-0.039,9.846,-0.941,9.890941209005339,standing
170039157,-0.078,9.865,-0.863,9.902983287878456,standing
170039166,-0.059,9.885,-0.902,9.926243498927477,standing
170039174,-0.059,9.885,-0.902,9.926243498927477,standing
170039182,-0.020,9.846,-0.883,9.885535139788843,standing
170039191,0.020,9.885,-0.883,9.924379779109625,standing
170039199,0.000,9.807,-0.843,9.843165039762363,standing
170039208,0.020,9.846,-0.863,9.883768765000525,standing
170039216,-0.020,9.885,-0.863,9.922620319250354,standing
170039224,-0.020,9.885,-0.863,9.922620319250354,standing
170039233,-0.039,9.846,-0.922,9.889151682525656,standing
170039241,-0.098,9.826,-0.863,9.864311886796768,standing
170039250,-0.118,9.807,-0.883,9.847378432862222,standing
170039258,-0.177,9.826,-0.863,9.865413017203082,standing
170039266,-0.275,9.826,-0.785,9.861142225929003,standing
170039275,-0.275,9.826,-0.785,9.861142225929003,standing
170039283,-0.275,9.865,-0.726,9.895500290536098,standing
170039292,-0.294,9.865,-0.745,9.897458562681635,standing
170039300,-0.235,9.924,-0.706,9.95185595755887,standing
170039308,-0.196,9.944,-0.667,9.968271715799084,standing
